"datetime","close","open","high","low","volume","涨跌幅"
"2023-12-29","9.39","9.42","9.48","9.35","85.39M","-0.63%"
"2023-12-28","9.45","9.11","9.47","9.08","166.16M","3.62%"
"2023-12-27","9.12","9.10","9.13","9.02","64.15M","0.22%"
"2023-12-26","9.10","9.19","9.20","9.07","54.19M","-0.98%"
"2023-12-25","9.19","9.18","9.20","9.14","41.40M","-0.11%"
"2023-12-22","9.20","9.19","9.28","9.11","100.57M","0.33%"
"2023-12-21","9.17","9.01","9.19","8.99","101.71M","1.55%"
"2023-12-20","9.03","9.11","9.15","9.03","71.56M","-0.77%"
"2023-12-19","9.10","9.12","9.17","9.07","64.41M","-0.33%"
"2023-12-18","9.13","9.18","9.24","9.09","65.44M","-0.87%"
"2023-12-15","9.21","9.20","9.35","9.19","98.89M","0.66%"
"2023-12-14","9.15","9.21","9.28","9.15","74.29M","-0.11%"
"2023-12-13","9.16","9.38","9.39","9.15","106.13M","-2.76%"
"2023-12-12","9.42","9.31","9.50","9.30","85.50M","0.75%"
"2023-12-11","9.35","9.22","9.38","9.13","113.37M","0.54%"
"2023-12-8","9.30","9.41","9.45","9.30","102.12M","-1.48%"
"2023-12-7","9.44","9.49","9.49","9.38","58.54M","-0.63%"
"2023-12-6","9.50","9.44","9.57","9.40","75.31M","0.21%"
"2023-12-5","9.48","9.61","9.62","9.47","78.74M","-1.56%"
"2023-12-4","9.63","9.67","9.68","9.61","60.54M","-0.31%"
"2023-12-1","9.66","9.65","9.68","9.58","77.81M","-0.21%"
"2023-11-30","9.68","9.69","9.73","9.62","90.18M","-0.41%"
"2023-11-29","9.72","9.95","9.97","9.70","146.76M","-2.31%"
"2023-11-28","9.95","9.99","10.02","9.95","78.62M","-0.60%"
"2023-11-27","10.01","10.09","10.09","9.97","83.62M","-0.89%"
"2023-11-24","10.10","10.11","10.13","10.08","68.47M","-0.49%"
"2023-11-23","10.15","10.15","10.16","10.07","84.67M","-0.10%"
"2023-11-22","10.16","10.26","10.31","10.14","73.75M","-1.17%"
"2023-11-21","10.28","10.23","10.35","10.22","104.12M","0.88%"
"2023-11-20","10.19","10.15","10.22","10.10","63.95M","0.39%"
"2023-11-17","10.15","10.22","10.25","10.12","90.34M","-0.88%"
"2023-11-16","10.24","10.38","10.39","10.23","92.26M","-1.25%"
"2023-11-15","10.37","10.37","10.45","10.34","110.91M","0.97%"
"2023-11-14","10.27","10.24","10.33","10.23","59.69M","0.20%"
"2023-11-13","10.25","10.31","10.33","10.22","77.00M","-0.49%"
"2023-11-10","10.30","10.45","10.47","10.29","104.50M","-1.81%"
"2023-11-9","10.49","10.46","10.52","10.43","63.91M","-0.10%"
"2023-11-8","10.50","10.58","10.60","10.45","87.78M","-0.94%"
"2023-11-7","10.60","10.66","10.66","10.58","64.09M","-0.84%"
"2023-11-6","10.69","10.51","10.69","10.51","100.71M","2.00%"
"2023-11-3","10.48","10.49","10.52","10.43","70.55M","0.00%"
"2023-11-2","10.48","10.50","10.60","10.47","61.94M","0.00%"
"2023-11-1","10.48","10.55","10.56","10.45","56.73M","0.19%"
"2023-10-31","10.46","10.43","10.49","10.41","65.29M","0.10%"
"2023-10-30","10.45","10.40","10.47","10.35","80.57M","0.00%"
"2023-10-27","10.45","10.38","10.48","10.33","91.98M","0.38%"
"2023-10-26","10.41","10.31","10.42","10.30","60.00M","0.29%"
"2023-10-25","10.38","10.51","10.54","10.36","141.14M","-1.61%"
"2023-10-24","10.55","10.54","10.61","10.44","76.07M","0.48%"
"2023-10-23","10.50","10.59","10.60","10.43","53.04M","-0.94%"
"2023-10-20","10.60","10.55","10.67","10.51","52.61M","0.00%"
"2023-10-19","10.60","10.91","10.92","10.59","118.90M","-3.20%"
"2023-10-18","10.95","10.99","11.02","10.91","65.18M","-0.64%"
"2023-10-17","11.02","11.01","11.05","10.96","49.35M","0.09%"
"2023-10-16","11.01","11.00","11.03","10.95","50.16M","0.09%"
"2023-10-13","11.00","11.03","11.07","10.95","68.45M","-0.99%"
"2023-10-12","11.11","11.11","11.16","11.04","85.31M","1.18%"
"2023-10-11","10.98","11.09","11.09","10.96","72.41M","-0.36%"
"2023-10-10","11.02","11.19","11.20","11.02","82.08M","-0.81%"
"2023-10-9","11.11","11.16","11.17","11.06","69.58M","-0.80%"
"2023-9-28","11.20","11.19","11.24","11.18","52.07M","0.27%"
"2023-9-27","11.17","11.15","11.22","11.15","49.03M","0.09%"
"2023-9-26","11.16","11.22","11.26","11.14","44.50M","-0.53%"
"2023-9-25","11.22","11.24","11.32","11.19","76.12M","-0.18%"
"2023-9-22","11.24","11.03","11.25","11.03","91.15M","1.72%"
"2023-9-21","11.05","11.14","11.14","11.04","84.39M","-0.90%"
"2023-9-20","11.15","11.20","11.22","11.15","55.89M","-0.54%"
"2023-9-19","11.21","11.22","11.23","11.16","50.37M","-0.18%"
"2023-9-18","11.23","11.22","11.24","11.14","50.13M","0.09%"
"2023-9-15","11.22","11.35","11.40","11.20","89.05M","-0.62%"
"2023-9-14","11.29","11.28","11.33","11.25","55.17M","0.36%"
"2023-9-13","11.25","11.29","11.32","11.21","49.02M","-0.27%"
"2023-9-12","11.28","11.35","11.35","11.25","49.55M","-0.53%"
"2023-9-11","11.34","11.30","11.40","11.27","65.45M","0.62%"
"2023-9-8","11.27","11.28","11.32","11.23","47.90M","-0.53%"
